1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:22:23
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:22:23
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:22:23
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:22:23
1 - Software; Archivo: alojamientos.php; Acción: Lista las visitas del alojamiento vdtykel3a7d4417089d3d422acbb8f2; Fecha: 26-05-2025; Hora: 11:22:27
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:22:33
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:22:33
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:22:33
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:22:33
ID: 1 - Nombre: Software - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login; Fecha: 26-05-2025; Hora: 11:42:14
ID: 15 - Nombre: Andres - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 26-05-2025; Hora: 11:42:22
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 11:42:23
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 11:52:42
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 11:52:58
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 11:54:51
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:57:38
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:57:38
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:57:38
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 26-05-2025; Hora: 11:57:38
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:00:36
ID: 15 - Nombre: Andres - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 26-05-2025; Hora: 12:02:37
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:02:38
ID: 15 - Nombre: Andres - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 26-05-2025; Hora: 12:06:04
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:06:05
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:06:14
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:07:07
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:35:44
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:36:00
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:36:05
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:43:03
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:43:28
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:43:47
ID: 15 - Nombre: Andres - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 26-05-2025; Hora: 12:48:58
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 12:48:59
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:15:15
ID: 15 - Nombre: Andres - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 26-05-2025; Hora: 13:15:36
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:15:36
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:19:09
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:19:11
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:19:12
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:32:04
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:32:17
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:32:44
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:33:00
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:36:48
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:40:19
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:41:33
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 26-05-2025; Hora: 13:42:11
