1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:33:57
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:34:07
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:34:37
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:34:40
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:35:07
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:35:07
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:35:35
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:35:36
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:35:36
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:35:39
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:35:42
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:38:40
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:38:42
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:38:43
1 - Joser; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 08-08-2024; Hora: 12:52:00
1 - Joser; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 08-08-2024; Hora: 12:52:03
1 - Joser; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 08-08-2024; Hora: 12:52:04
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 08-08-2024; Hora: 12:53:33
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:55:31
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 12:55:33
1 - Joser; Archivo: tiposAloja_Edu.php; Acción: Lista los tipos de alojamiento ; Fecha: 08-08-2024; Hora: 12:55:36
1 - Joser; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 08-08-2024; Hora: 12:55:41
1 - Joser; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 08-08-2024; Hora: 13:21:42
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:21:43
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:22:35
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:24:31
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:24:49
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:25:24
1 - Joser; Archivo: pagos.php; Acción: insertar pago; Fecha: 08-08-2024; Hora: 13:25:29
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:25:29
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:38:40
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:38:58
1 - Joser; Archivo: pagos.php; Acción: Recoger los medios de pago por id; Fecha: 08-08-2024; Hora: 13:39:00
1 - Joser; Archivo: pagos.php; Acción: editar pago; Fecha: 08-08-2024; Hora: 13:39:01
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:39:01
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:40:08
1 - Joser; Archivo: pagos.php; Acción: Recoger los medios de pago por id; Fecha: 08-08-2024; Hora: 13:40:10
1 - Joser; Archivo: pagos.php; Acción: editar pago; Fecha: 08-08-2024; Hora: 13:40:11
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:40:11
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:40:14
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:41:26
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:41:36
1 - Joser; Archivo: pagos.php; Acción: Recoger los medios de pago por id; Fecha: 08-08-2024; Hora: 13:41:37
1 - Joser; Archivo: pagos.php; Acción: editar pago; Fecha: 08-08-2024; Hora: 13:41:39
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:41:39
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:47:55
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:47:56
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 13:47:57
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 14:02:55
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 08-08-2024; Hora: 15:49:23
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 15:49:28
1 - Joser; Archivo: pagos.php; Acción: insertar pago; Fecha: 08-08-2024; Hora: 15:50:12
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 15:52:35
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 15:53:21
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 15:53:25
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 15:53:59
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 15:54:01
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 15:54:23
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 15:54:56
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 15:54:57
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 15:55:48
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 15:57:35
1 - Joser; Archivo: pagos.php; Acción: Recoger los medios de pago por id; Fecha: 08-08-2024; Hora: 15:57:39
1 - Joser; Archivo: pagos.php; Acción: editar pago; Fecha: 08-08-2024; Hora: 15:57:40
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 15:57:41
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 15:57:44
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 15:57:45
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 16:04:28
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 08-08-2024; Hora: 16:06:06
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:32:23
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:40:52
1 - Joser; Archivo: series.php; Acción: Se inserta una serie; Fecha: 08-08-2024; Hora: 16:41:18
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:41:18
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:41:20
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:42:25
1 - Joser; Archivo: series.php; Acción: Se inserta una serie; Fecha: 08-08-2024; Hora: 16:42:49
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:42:49
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:43:14
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:44:33
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:44:52
1 - Joser; Archivo: series.php; Acción: Se inserta una serie; Fecha: 08-08-2024; Hora: 16:44:58
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:44:58
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:56:31
1 - Joser; Archivo: series.php; Acción: Se elimina la serie 4; Fecha: 08-08-2024; Hora: 16:56:41
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 16:56:41
1 - Joser; Archivo: series.php; Acción: Lista las Series; Fecha: 08-08-2024; Hora: 17:27:58
1 - Joser; Archivo: grupos.php; Acción: Lista los grupos; Fecha: 08-08-2024; Hora: 17:28:44
1 - Joser; Archivo: grupos.php; Acción: Lista los grupos; Fecha: 08-08-2024; Hora: 17:32:41
1 - Joser; Archivo: grupos.php; Acción: Se inserta un nuevo grupo; Fecha: 08-08-2024; Hora: 17:32:52
1 - Joser; Archivo: grupos.php; Acción: Lista los grupos; Fecha: 08-08-2024; Hora: 17:32:52
1 - Joser; Archivo: grupos.php; Acción: Lista los grupos; Fecha: 08-08-2024; Hora: 17:45:11
1 - Joser; Archivo: grupos.php; Acción: Lista los grupos; Fecha: 08-08-2024; Hora: 17:46:47
1 - Joser; Archivo: grupos.php; Acción: Lista los grupos; Fecha: 08-08-2024; Hora: 17:48:36
1 - Joser; Archivo: grupos.php; Acción: Lista los grupos; Fecha: 08-08-2024; Hora: 17:49:47
1 - Joser; Archivo: grupos.php; Acción: Lista los grupos; Fecha: 08-08-2024; Hora: 17:50:09
